Product Name,Quantity,priceMRP,priceSALE,savePrice,pricepergm
Premia Badam (Almonds),500 gm,543.00,388.00,155.00,(₹ 0.78 / 1 gm)
Premia Regular Kaju (Cashews) - 320,100 gm,156.00,92.00,64.00,(₹ 0.92 / 1 gm)
Premia Kismis Indian (Raisins),100 gm,42.00,27.00,15.00,(₹ 0.27 / 1 gm)
Premia Akrod Magaj (Walnut Kernels),100 gm,255.00,158.00,97.00,(₹ 1.58 / 1 gm)
Premia Kaju Tukda (Cashews),100 gm,156.00,91.00,65.00,(₹ 0.91 / 1 gm)
Date Crown Fard (Khajur),500 gm,288.00,185.00,103.00,(₹ 0.37 / 1 gm)
Akrod (Walnut) Whole,1 kg,873.00,695.00,178.00,(₹ 695.00 / 1 kg)
Premia Kaju Special (Cashews),100 gm,172.00,101.00,71.00,(₹ 1.01 / 1 gm)
Premia Anjeer (Figs),100 gm,238.00,146.00,92.00,(₹ 1.46 / 1 gm)
Premia Pista Plain (Pistachios),100 gm,394.00,237.00,157.00,(₹ 2.37 / 1 gm)
Premia Mixed Dry Fruits,100 gm,94.00,67.00,27.00,(₹ 0.67 / 1 gm)
Premia Red Dried Dates (Kharik),100 gm,89.00,55.00,34.00,(₹ 0.55 / 1 gm)
Falcon UAE Dates Seedless (Khajur),500 gm,200.00,159.00,41.00,(₹ 0.32 / 1 gm)
Date Crown Bumaan Dates,500 gm,150.00,75.00,75.00,(₹ 0.15 / 1 gm)
Emperor Royal Peacock Seeded Dates (Khajur),500 gm,125.00,93.00,32.00,(₹ 0.19 / 1 gm)
Wonderland Roasted & Salted California Pista,400 gm,725.00,399.00,326.00,(₹ 1.00 / 1 gm)
Premia Pista Salty (Pistachio),100 gm,230.00,141.00,89.00,(₹ 1.41 / 1 gm)
Emperor Dates - Deseeded Dates,500 gm,150.00,120.00,30.00,(₹ 0.24 / 1 gm)
Premia Jardalu,100 gm,119.00,72.00,47.00,(₹ 0.72 / 1 gm)
Premia Premium Kaju (Cashews) - 210,100 gm,197.00,114.00,83.00,(₹ 1.14 / 1 gm)
Premia Kismis Selected (Raisins),100 gm,114.00,73.00,41.00,(₹ 0.73 / 1 gm)
Premia Black Dried Dates (Kharik),200 gm,175.00,110.00,65.00,(₹ 0.55 / 1 gm)
Falcon Aqaba Dates,500 gm,150.00,115.00,35.00,(₹ 0.23 / 1 gm)
Premia Akrod Whole,200 gm,221.00,135.00,86.00,(₹ 0.68 / 1 gm)
Falcon UAE Dates Seeded,500 gm,165.00,119.00,46.00,(₹ 0.24 / 1 gm)
Emperor Dates - Dates with Seed,500 gm,110.00,85.00,25.00,(₹ 0.17 / 1 gm)
Date Crown Khenaizi (Khajur),500 gm,252.00,185.00,67.00,(₹ 0.37 / 1 gm)
Falcon Zahdi Dates Seedless,500 gm,160.00,121.00,39.00,(₹ 0.24 / 1 gm)
Falcon Zahdi Dates Seeded,500 gm,125.00,105.00,20.00,(₹ 0.21 / 1 gm)
Premia Kismis Black (Raisins),100 gm,67.00,41.00,26.00,(₹ 0.41 / 1 gm)
Premium Dry Fruit Box,600 gm,950.00,599.00,351.00,(₹ 1.00 / 1 gm)
Premium Dry Fruit Box,400 gm,600.00,449.00,151.00,(₹ 1.12 / 1 gm)
